Sample_ID,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,Genotype,Compartment,soil_type,soil_batch,longitude,latitude,environment,Location,Group,Replicate
G2_199,G2_199,G2,3,Nutrient,Nutrient,D10,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_204,G2_204,G2,3,Control,Control,N3,Nutrient,Nutrient_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_161,G2_161,G2,3,Nutrient,Nutrient,C2B,Control,Control_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_202,G2_202,G2,3,Nutrient,Nutrient,N5,Nutrient,Nutrient_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_216,G2_216,G2,3,Control,Control,C8,Control,Control_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_214,G2_214,G2,3,Nutrient,Nutrient,D11,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_172,G2_172,G2,3,Drought,Drought,D11,Drought,Drought_Drought,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_192,G2_192,G2,3,Control,Control,D13,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_191,G2_191,G2,3,Control,Control,N5,Nutrient,Nutrient_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_188,G2_188,G2,3,Control,Control,D10,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_200,G2_200,G2,3,Drought,Drought,N5,Nutrient,Nutrient_Drought,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_212,G2_212,G2,3,Control,Control,D5,Drought,Drought_Control,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_213,G2_213,G2,3,Nutrient,Nutrient,D13,Drought,Drought_Nutrient,2,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0125,G2_PC_0125,G2,,,,,,,,,g2_0125,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0125,G2_NC_0125,G2,,,,,,,,,g2_0125,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_177,G2_177,G2,3,Nutrient,Nutrient,C8,Control,Control_Nutrient,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_167,G2_167,G2,3,Nutrient,Nutrient,D5,Drought,Drought_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_193,G2_193,G2,3,Nutrient,Nutrient,N1B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_176,G2_176,G2,3,Control,Control,D11,Drought,Drought_Control,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_178,G2_178,G2,3,Drought,Drought,C2B,Control,Control_Drought,1,bottom,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_158,G2_158,G2,3,Nutrient,Nutrient,C1B,Control,Control_Nutrient,1,top,g2_0125,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0121,G2_PC_0121,G2,,,,,,,,,g2_0121,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0121,G2_NC_0121,G2,,,,,,,,,g2_0121,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_179,G2_179,G2,3,Control,Control,C1B,Control,Control_Control,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_205,G2_205,G2,3,Drought,Drought,C1B,Control,Control_Drought,2,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_159,G2_159,G2,3,Drought,Drought,D10,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_151,G2_151,G2,3,Control,Control,C15,Control,Control_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_153,G2_153,G2,3,Nutrient,Nutrient,C15,Control,Control_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
